flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
10,3.000000,273.149994,204.698303,1.430140,5.308003e-13,3.408646e-15,5.331184e-13,2.318130e-15,2.365300e-04,-1.000000
10,3.000000,273.149994,253.873230,2.075560,1.049640e-12,1.286956e-14,1.058473e-12,8.833220e-15,2.287900e-04,-1.000000
10,3.000000,273.149994,332.668030,3.113340,2.465216e-12,6.825249e-14,2.512639e-12,4.742271e-14,5.300400e-04,-1.000000
10,3.000000,273.149994,363.648468,3.558180,3.269136e-12,1.182891e-13,3.351651e-12,8.251566e-14,7.820100e-04,-1.000000
10,3.000000,273.149994,402.998627,4.151120,4.530187e-12,2.231111e-13,4.686319e-12,1.561323e-13,1.225900e-03,-1.000000
10,3.000000,273.149994,455.084015,4.981350,6.668291e-12,4.725014e-13,6.999571e-12,3.312805e-13,1.916000e-03,-1.000000
10,3.000000,273.149994,528.088623,6.226810,1.071319e-11,1.182436e-12,1.154367e-11,8.304739e-13,3.068100e-03,-1.000000
10,3.000000,273.149994,639.733521,8.302410,1.976545e-11,3.842272e-12,2.247512e-11,2.709665e-12,5.417600e-03,-1.000000
10,3.000000,273.149994,838.288391,12.453620,4.697288e-11,1.990612e-11,6.125085e-11,1.427797e-11,1.200700e-02,-1.000000
0,3.000000,263.149994,25.000000,0.120900,5.600674e-16,1.052963e-20,5.600746e-16,7.175986e-21,1.782000e-04,-1.000000
0,3.000000,263.149994,50.000000,0.241700,4.480539e-15,6.738867e-19,4.480998e-15,4.592537e-19,1.794500e-04,-1.000000
0,3.000000,263.149994,100.000000,0.483500,3.584557e-14,4.312622e-17,3.587496e-14,2.938803e-17,1.912000e-04,-1.000000
0,3.000000,263.149994,200.000000,0.966900,2.867897e-13,2.759541e-15,2.886682e-13,1.878421e-15,2.477700e-04,-1.000000
0,3.000000,263.149994,500.000000,2.417400,4.437578e-12,6.673925e-13,4.892292e-12,4.547141e-13,5.257400e-04,-1.000000
0,3.000000,263.149994,750.000000,3.626000,1.495624e-11,7.574452e-12,2.012090e-11,5.164660e-12,8.820100e-04,-1.000000
0,3.000000,263.149994,1000.000000,4.834700,3.546858e-11,4.241956e-11,6.443564e-11,2.896705e-11,1.631800e-03,-1.000000
1,3.000000,263.149994,25.000000,0.082600,5.061891e-16,9.593502e-21,5.061956e-16,6.461863e-21,1.786000e-04,-1.000000
1,3.000000,263.149994,50.000000,0.165200,4.049434e-15,6.139782e-19,4.049848e-15,4.135750e-19,1.790300e-04,-1.000000
1,3.000000,263.149994,100.000000,0.330300,3.239610e-14,3.929445e-17,3.242258e-14,2.647640e-17,1.809100e-04,-1.000000
1,3.000000,263.149994,200.000000,0.660700,2.592065e-13,2.514775e-15,2.609053e-13,1.698722e-15,1.986300e-04,-1.000000
